name,violability,conditioning,exceptionality,reparability,foundation,stricture,relations,constituent,count
ChichewaImperative,notViolable,constructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,1
ChichewaNoun,potentiallyViolable,constructionalConditioning,lexical,surfaceViolable,span,order,simple,morphologicalConstituent,2
ChichewaVerbWithImperatives,notViolable,constructionalConditioning,NA,NA,arch,order,taxonomic,morphologicalConstituent,8
ChichewaRelativeClause,notViolable,constructionalConditioning,NA,NA,span,order,simple,syntacticConstituent,2
ChichewaAR,potentiallyViolable,lexicoconstructionalConditioning,semantic,morphosyntacticInsertion,arch,order,simple,morphologicalConstituent,3
ChichewaVOX,potentiallyViolable,constructionalConditioning,morphosyntactic,surfaceViolable,arch,order,simple,syntacticConstituent,3
ChichewaORelative,notViolable,lexicoconstructionalConditioning,NA,NA,span,order,simple,morphologicalConstituent,2
ChichewaComplementClause,notViolable,lexicoconstructionalConditioning,NA,NA,span,order,simple,syntacticConstituent,2
ChichewaWordMinimality,potentiallyViolable,prosodicConditioning,noKnownExceptions,phonologicalInsertion,span,length,NA,Syllable,2
ChichewaCA,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,3
ChichewaOsaVerb,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,2
ChichewaLocative,notViolable,constructionalConditioning,NA,NA,span,order,simple,morphologicalConstituent,2
ChichewaNP,potentiallyViolable,constructionalConditioning,pragmatic,surfaceViolable,arch,order,simple,syntacticConstituent,4
ChichewaRMC,notViolable,constructionalConditioning,NA,NA,span,order,simple,morphologicalConstituent,2
ChichewaCP,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,3
ChichewaProsodicPhrase,notViolable,prosodicConditioning,NA,NA,span,order,simple,prosodicPhrase,2
ChichewaNiEnclitic,notViolable,lexicoconstructionalConditioning,NA,NA,span,order,simple,morphologicalConstituent,2
ChichewaVerb,notViolable,constructionalConditioning,NA,NA,arch,order,simple,morphosyntacticConstituent,7
